,id,name,vector_id,datetime,score,rerunscore
50,23095,elog time gap vector at 2024-01-22 00:37:22Z,6,2024-01-21 16:37:22.708235-08,0.994542718908624,0.000821213701039264
108,23189,elog time gap vector at 2024-01-22 04:37:30Z,6,2024-01-21 20:37:30.357765-08,0.994542718908624,0.00149581534059334
155,23310,elog time gap vector at 2024-01-22 10:09:10Z,6,2024-01-22 02:09:10.857083-08,0.994542718908624,0.00342098660925591
111,23404,elog time gap vector at 2024-01-22 14:09:19Z,6,2024-01-22 06:09:19.057476-08,0.994542718908624,0.000157323110554743
53,23498,elog time gap vector at 2024-01-22 18:09:26Z,6,2024-01-22 10:09:26.64041-08,0.994542718908624,0.000286714874873413
107,23615,elog time gap vector at 2024-01-22 23:27:56Z,6,2024-01-22 15:27:56.62668-08,0.994542718908624,0.000635485168049268
52,23709,elog time gap vector at 2024-01-23 03:28:04Z,6,2024-01-22 19:28:04.942985-08,0.994542718908624,0.00115772546719519
133,23847,elog time gap vector at 2024-01-23 09:38:07Z,6,2024-01-23 01:38:07.813068-08,0.994542718908624,0.00291484358298975
95,23941,elog time gap vector at 2024-01-23 13:38:16Z,6,2024-01-23 05:38:16.300467-08,0.994542718908624,0.000154849385814839
55,24035,elog time gap vector at 2024-01-23 17:38:24Z,6,2024-01-23 09:38:24.087379-08,0.994542718908624,0.00028220958573426
98,24140,elog time gap vector at 2024-01-23 22:28:03Z,6,2024-01-23 14:28:03.354951-08,0.994542718908624,0.000582009183227264
58,24234,elog time gap vector at 2024-01-24 02:28:11Z,6,2024-01-23 18:28:11.777114-08,0.994542718908624,0.00106035433708115
115,24328,elog time gap vector at 2024-01-24 06:28:19Z,6,2024-01-23 22:28:19.531071-08,0.994542718908624,0.00193103133913289
171,24491,elog time gap vector at 2024-01-24 13:48:18Z,6,2024-01-24 05:48:18.463266-08,0.994542718908624,0.00577851864604448
34,24585,elog time gap vector at 2024-01-24 17:48:26Z,6,2024-01-24 09:48:26.905136-08,0.994542718908624,0.000127482612029474
71,24679,elog time gap vector at 2024-01-24 21:48:35Z,6,2024-01-24 13:48:35.088146-08,0.994542718908624,0.000232343309046401
122,24772,elog time gap vector at 2024-01-25 01:48:43Z,6,2024-01-24 17:48:43.017054-08,0.994542718908624,0.000423416062104544
102,24866,elog time gap vector at 2024-01-25 05:48:50Z,6,2024-01-24 21:48:50.775461-08,0.994542718908624,0.000771495063997306
173,24960,elog time gap vector at 2024-01-25 09:48:58Z,6,2024-01-25 01:48:58.449108-08,0.994542718908624,0.00140531323551966
106,25054,elog time gap vector at 2024-01-25 13:49:06Z,6,2024-01-25 05:49:06.299198-08,0.994542718908624,0.00255852726075125
66,25160,elog time gap vector at 2024-01-25 18:42:33Z,6,2024-01-25 10:42:33.068863-08,0.994542718908624,0.00531366170040505
74,25254,elog time gap vector at 2024-01-25 22:42:41Z,6,2024-01-25 14:42:41.414338-08,0.994542718908624,0.00964333122465887
147,25431,elog time gap vector at 2024-02-03 21:10:33Z,6,2024-02-03 13:10:33.471173-08,0.994542718908624,0.00973965031436817
96,25525,elog time gap vector at 2024-02-04 01:10:41Z,6,2024-02-03 17:10:41.934819-08,2.4499478749568008e-05,0.0176119279089399
25,25669,elog time gap vector at 2024-02-04 17:11:15Z,6,2024-02-04 09:11:15.10495-08,0.0001214475903675,0.16520101801651
22,25763,elog time gap vector at 2024-02-04 21:11:23Z,6,2024-02-04 13:11:23.223013-08,0.0001812076583129,0.265087851571849
39,25857,elog time gap vector at 2024-02-05 01:11:31Z,6,2024-02-04 17:11:31.752624-08,0.0002703688097654,0.396676062232999
156,25960,elog time gap vector at 2024-02-05 15:06:22Z,6,2024-02-05 07:06:22.174039-08,0.0010861386825599,0.841277825489962
15,26054,elog time gap vector at 2024-02-05 19:06:30Z,6,2024-02-05 11:06:30.624877-08,0.0013468979413505,0.000162787469089377
123,26148,elog time gap vector at 2024-02-05 23:06:38Z,6,2024-02-05 15:06:38.752802-08,0.0013468979413505,0.00029667884411984
16,26278,elog time gap vector at 2024-02-06 14:17:12Z,6,2024-02-06 06:17:12.36058-08,0.0013468979413505,0.00288263610538
65,26443,elog time gap vector at 2024-02-07 05:15:11Z,6,2024-02-06 21:15:11.505796-08,0.0013468979413505,0.026565971992982
101,26549,elog time gap vector at 2024-02-07 14:59:38Z,6,2024-02-07 06:59:38.882736-08,0.0013468979413505,0.000475086342930928
18,26880,elog time gap vector at 2024-02-08 19:44:55Z,6,2024-02-08 11:44:55.207205-08,0.0013468979413505,0.000379682234544769
69,27087,elog time gap vector at 2024-02-09 15:29:04Z,6,2024-02-09 07:29:04.963936-08,0.0013468979413505,0.00727948106971485
138,27392,elog time gap vector at 2024-02-10 14:51:21Z,6,2024-02-10 06:51:21.432072-08,0.003205311329996,0.196280838584824
41,27524,elog time gap vector at 2024-02-10 20:54:37Z,6,2024-02-10 12:54:37.342884-08,0.0058566957828007,0.377178720432671
89,27652,elog time gap vector at 2024-02-11 02:54:57Z,6,2024-02-10 18:54:57.44066-08,0.0106263937691534,0.59851872947715
9,27739,elog time gap vector at 2024-02-11 15:19:55Z,6,2024-02-11 07:19:55.406158-08,0.0358423479231805,0.905656025451659
49,27833,elog time gap vector at 2024-02-11 19:20:04Z,6,2024-02-11 11:20:04.027737-08,0.0402175005525964,0.000187917062077223
116,28043,elog time gap vector at 2024-02-12 21:25:55Z,6,2024-02-12 13:25:55.432309-08,0.0402175005525964,0.00933431196651856
37,28214,elog time gap vector at 2024-02-13 14:47:35Z,6,2024-02-13 06:47:35.464376-08,0.0402175005525964,0.112994498100406
146,28308,elog time gap vector at 2024-02-13 18:47:44Z,6,2024-02-13 10:47:44.240759-08,0.0402175005525964,0.188444938662077
32,28423,elog time gap vector at 2024-02-13 23:57:15Z,6,2024-02-13 15:57:15.199319-08,0.0402175005525964,0.000240691876951915
112,28570,elog time gap vector at 2024-02-14 15:17:32Z,6,2024-02-14 07:17:32.229928-08,0.0402175005525964,0.00239722673589142
5,28718,elog time gap vector at 2024-02-15 00:25:37Z,6,2024-02-14 16:25:37.28712-08,0.0402175005525964,0.00936996373137258
93,28812,elog time gap vector at 2024-02-15 04:25:45Z,6,2024-02-14 20:25:45.412574-08,0.0402175005525964,0.0169483137316724
43,28909,elog time gap vector at 2024-02-15 17:28:59Z,6,2024-02-15 09:28:59.901253-08,0.0402175005525964,0.00085074998437235
137,29024,elog time gap vector at 2024-02-15 22:40:01Z,6,2024-02-15 14:40:01.1488-08,0.0402175005525964,0.00184949919604163
154,29169,elog time gap vector at 2024-02-16 16:59:28Z,6,2024-02-16 08:59:28.838745-08,0.0402175005525964,0.0281313671346286
149,29263,elog time gap vector at 2024-02-16 20:59:37Z,6,2024-02-16 12:59:37.12752-08,0.0402175005525964,0.0501164521044086
79,29411,elog time gap vector at 2024-02-17 14:47:17Z,6,2024-02-17 06:47:17.57955-08,0.0402175005525964,0.432218710811425
63,29571,elog time gap vector at 2024-02-17 21:55:35Z,6,2024-02-17 13:55:35.282817-08,0.0402175005525964,0.000240855257821705
87,29665,elog time gap vector at 2024-02-18 01:55:43Z,6,2024-02-17 17:55:43.563596-08,0.0402175005525964,0.000438931362905935
51,29756,elog time gap vector at 2024-02-18 16:05:42Z,6,2024-02-18 08:05:42.118409-08,0.0402175005525964,0.00366305246576033
10,29850,elog time gap vector at 2024-02-18 20:05:50Z,6,2024-02-18 12:05:50.59071-08,0.0402175005525964,0.00665681093280069
35,30057,elog time gap vector at 2024-02-19 15:59:39Z,6,2024-02-19 07:59:39.965339-08,0.0402175005525964,0.117028192417182
142,30259,elog time gap vector at 2024-02-20 01:08:16Z,6,2024-02-19 17:08:16.56176-08,0.0402175005525964,0.000291177725427643
117,30365,elog time gap vector at 2024-02-20 16:03:28Z,6,2024-02-20 08:03:28.247252-08,0.0402175005525964,0.0001246656680942
81,30526,elog time gap vector at 2024-02-20 23:29:09Z,6,2024-02-20 15:29:09.265736-08,0.0402175005525964,0.000379778969625248
21,30687,elog time gap vector at 2024-02-21 15:12:39Z,6,2024-02-21 07:12:39.715345-08,0.0402175005525964,0.00400271142099679
17,30815,elog time gap vector at 2024-02-21 20:55:05Z,6,2024-02-21 12:55:05.267271-08,0.0402175005525964,0.000263106757558182
75,30909,elog time gap vector at 2024-02-22 00:55:13Z,6,2024-02-21 16:55:13.596922-08,0.0402175005525964,0.000479474394689923
97,31023,elog time gap vector at 2024-02-22 15:30:44Z,6,2024-02-22 07:30:44.099056-08,0.0402175005525964,0.00426274733519703
