,id,name,vector_id,datetime,score,rerunscore
174,15053,elog time gap vector at 2024-02-07 07:31:27Z,6,2024-02-06 23:31:27.385099-08,0.0938126639940323,0.000154986450143524
68,15146,elog time gap vector at 2024-02-07 11:31:29Z,6,2024-02-07 03:31:29.713164-08,0.1337870532497946,0.000282395130113029
101,15250,elog time gap vector at 2024-02-07 16:19:09Z,6,2024-02-07 08:19:09.190031-08,0.1688099846349982,0.000167967281197337
153,15344,elog time gap vector at 2024-02-07 20:19:11Z,6,2024-02-07 12:19:11.724771-08,0.1688099846349982,0.000306046394960493
15,15510,elog time gap vector at 2024-02-08 08:55:21Z,6,2024-02-08 00:55:21.739872-08,0.1688099846349982,0.00202319828840331
75,15666,elog time gap vector at 2024-02-08 16:08:57Z,6,2024-02-08 08:08:57.676825-08,0.1688099846349982,0.000221316984239917
12,15760,elog time gap vector at 2024-02-08 20:09:00Z,6,2024-02-08 12:09:00.276668-08,0.1688099846349982,0.000222488475698408
120,15934,elog time gap vector at 2024-02-09 15:03:55Z,6,2024-02-09 07:03:55.513808-08,0.1688099846349982,0.00378426863235136
41,16028,elog time gap vector at 2024-02-09 19:03:58Z,6,2024-02-09 11:03:58.043316-08,0.1688099846349982,0.00687472073983755
44,16122,elog time gap vector at 2024-02-09 23:04:00Z,6,2024-02-09 15:04:00.409434-08,0.1688099846349982,0.0124573705247957
7,16334,elog time gap vector at 2024-02-10 17:54:43Z,6,2024-02-10 09:54:43.227283-08,0.1688099846349982,0.000143185178762555
71,16428,elog time gap vector at 2024-02-10 21:54:46Z,6,2024-02-10 13:54:46.116027-08,0.1688099846349982,0.000260901090929119
144,16633,elog time gap vector at 2024-02-11 17:08:30Z,6,2024-02-11 09:08:30.940563-08,0.1688099846349982,0.000135256739024018
91,16726,elog time gap vector at 2024-02-11 21:08:33Z,6,2024-02-11 13:08:33.475896-08,0.1688099846349982,0.000246452472318581
13,16883,elog time gap vector at 2024-02-12 15:02:25Z,6,2024-02-12 07:02:25.178088-08,0.1688099846349982,0.00359919044425144
147,17003,elog time gap vector at 2024-02-12 20:29:22Z,6,2024-02-12 12:29:22.43012-08,0.1688099846349982,0.00811369470333093
122,17141,elog time gap vector at 2024-02-13 05:06:19Z,6,2024-02-12 21:06:19.915598-08,0.1688099846349982,0.028926053597786
190,17235,elog time gap vector at 2024-02-13 09:06:22Z,6,2024-02-13 01:06:22.672559-08,0.1688099846349982,0.0514880303134586
197,17401,elog time gap vector at 2024-02-13 16:42:20Z,6,2024-02-13 08:42:20.175247-08,0.1688099846349982,0.000180406991271831
116,17545,elog time gap vector at 2024-02-13 23:17:11Z,6,2024-02-13 15:17:11.056976-08,0.1688099846349982,0.000217754426024666
194,17659,elog time gap vector at 2024-02-14 12:28:15Z,6,2024-02-14 04:28:15.339252-08,0.1688099846349982,0.00157135182094703
195,17834,elog time gap vector at 2024-02-14 20:25:33Z,6,2024-02-14 12:25:33.094754-08,0.1688099846349982,0.000231634824552471
104,17928,elog time gap vector at 2024-02-15 00:25:35Z,6,2024-02-14 16:25:35.64795-08,0.1688099846349982,0.000422030684945126
84,18068,elog time gap vector at 2024-02-15 15:34:44Z,6,2024-02-15 07:34:44.945824-08,0.1688099846349982,0.000639512742725394
151,18162,elog time gap vector at 2024-02-15 19:34:47Z,6,2024-02-15 11:34:47.607729-08,0.1688099846349982,0.00116478489927165
10,18255,elog time gap vector at 2024-02-15 23:34:50Z,6,2024-02-15 15:34:50.108034-08,0.1688099846349982,0.00212056647727706
127,18420,elog time gap vector at 2024-02-16 17:05:02Z,6,2024-02-16 09:05:02.929455-08,0.1688099846349982,0.000130983326969399
157,18514,elog time gap vector at 2024-02-16 21:05:05Z,6,2024-02-16 13:05:05.508604-08,0.1688099846349982,0.000238667125528201
171,18748,elog time gap vector at 2024-02-17 18:21:39Z,6,2024-02-17 10:21:39.805603-08,0.1688099846349982,0.000129220839186954
83,18842,elog time gap vector at 2024-02-17 22:21:42Z,6,2024-02-17 14:21:42.391083-08,0.1688099846349982,0.000235456067483351
155,18967,elog time gap vector at 2024-02-18 14:58:16Z,6,2024-02-18 06:58:16.138556-08,0.1688099846349982,0.00283649792768584
152,19144,elog time gap vector at 2024-02-18 22:56:10Z,6,2024-02-18 14:56:10.96783-08,0.1688099846349982,0.00930771795153216
95,19238,elog time gap vector at 2024-02-19 08:12:06Z,6,2024-02-19 00:12:06.718037-08,0.1688099846349982,0.0363428845651691
176,19332,elog time gap vector at 2024-02-19 12:12:09Z,6,2024-02-19 04:12:09.312796-08,0.1688099846349982,0.0643063953481893
8,19423,elog time gap vector at 2024-02-19 16:18:22Z,6,2024-02-19 08:18:22.63598-08,0.1688099846349982,0.00015373641104902
131,19517,elog time gap vector at 2024-02-19 20:18:25Z,6,2024-02-19 12:18:25.217425-08,0.1688099846349982,0.000141096575331752
65,19734,elog time gap vector at 2024-02-20 18:55:02Z,6,2024-02-20 10:55:02.83264-08,0.1688099846349982,0.000191427621985674
141,19828,elog time gap vector at 2024-02-20 22:55:05Z,6,2024-02-20 14:55:05.57889-08,0.1688099846349982,0.000348788878820554
67,19945,elog time gap vector at 2024-02-21 14:03:33Z,6,2024-02-21 06:03:33.985677-08,0.1688099846349982,0.00336985074072666
93,20037,elog time gap vector at 2024-02-21 18:14:33Z,6,2024-02-21 10:14:33.118699-08,0.1688099846349982,0.000162774204258116
77,20131,elog time gap vector at 2024-02-21 22:14:35Z,6,2024-02-21 14:14:35.723278-08,0.1688099846349982,0.000296586428477773
100,20277,elog time gap vector at 2024-02-22 18:26:24Z,6,2024-02-22 10:26:24.165674-08,0.1688099846349982,0.000163245587932148
160,20371,elog time gap vector at 2024-02-22 22:26:26Z,6,2024-02-22 14:26:26.762287-08,0.1688099846349982,0.000297445109806033
16,20485,elog time gap vector at 2024-02-23 12:15:33Z,6,2024-02-23 04:15:33.451069-08,0.1688099846349982,0.00235888474445956
167,20614,elog time gap vector at 2024-02-23 18:05:50Z,6,2024-02-23 10:05:50.057328-08,0.1688099846349982,0.000166854914252162
87,20708,elog time gap vector at 2024-02-23 22:05:52Z,6,2024-02-23 14:05:52.761139-08,0.1688099846349982,0.000304022015218689
3,20931,elog time gap vector at 2024-02-24 17:14:41Z,6,2024-02-24 09:14:41.856133-08,0.1688099846349982,0.000138045015444127
102,21025,elog time gap vector at 2024-02-24 21:14:44Z,6,2024-02-24 13:14:44.485653-08,0.1688099846349982,0.000251533425089502
32,21119,elog time gap vector at 2024-02-25 01:14:46Z,6,2024-02-24 17:14:46.915821-08,0.1688099846349982,0.000458275405419189
126,21263,elog time gap vector at 2024-02-25 17:00:49Z,6,2024-02-25 09:00:49.538438-08,0.1688099846349982,0.00485696570959188
129,21357,elog time gap vector at 2024-02-25 21:00:52Z,6,2024-02-25 13:00:52.272603-08,0.1688099846349982,0.000221048458376629
29,21548,elog time gap vector at 2024-02-26 13:57:47Z,6,2024-02-26 05:57:47.527962-08,0.1688099846349982,0.00280202980206064
86,21640,elog time gap vector at 2024-02-26 18:16:34Z,6,2024-02-26 10:16:34.759437-08,0.1688099846349982,0.00533754698982395
25,21948,elog time gap vector at 2024-02-27 16:33:58Z,6,2024-02-27 08:33:58.49565-08,0.1688099846349982,0.000155364323674944
169,22042,elog time gap vector at 2024-02-27 20:34:01Z,6,2024-02-27 12:34:01.126849-08,0.1688099846349982,0.000283087126195706
45,22136,elog time gap vector at 2024-02-28 00:34:03Z,6,2024-02-27 16:34:03.596143-08,0.1688099846349982,0.000515751389816229
143,22392,elog time gap vector at 2024-03-08 23:59:56Z,6,2024-03-08 15:59:56.014403-08,0.1688099846349982,0.000371734102077595
74,22486,elog time gap vector at 2024-03-09 03:59:58Z,6,2024-03-08 19:59:58.646425-08,3.090199429902251e-05,0.000677210970383924
170,22579,elog time gap vector at 2024-03-09 08:00:01Z,6,2024-03-09 00:00:01.214228-08,4.610292314785211e-05,0.00123340401359233
31,22673,elog time gap vector at 2024-03-09 12:00:03Z,6,2024-03-09 04:00:03.68462-08,6.878062612986257e-05,0.00224536265848421
58,22767,elog time gap vector at 2024-03-09 16:00:06Z,6,2024-03-09 08:00:06.170011-08,0.0001026122894008,0.00408420024435737
38,22861,elog time gap vector at 2024-03-09 20:00:08Z,6,2024-03-09 12:00:08.665265-08,0.0001530826213236,0.000185547317717664
