969344, 2023-06-22 18:44:11, manudo, cer1, up, 18214, 48890, pop-prd-pthalos000, 
969348, 2023-06-22 18:45:40, manudo, cer1, down, 18214, 48890, pop-prd-pthalos000, 
0:01:29 1
remove me!
969352, 2023-06-22 18:46:14, manudo, cer1, up, 16072, 61710, pop-prd-pthalos000, 
0:00:34 0
remove me!
969353, 2023-06-22 18:46:40, manudo, cer1, down, 16072, 61710, pop-prd-pthalos000, 
0:00:26 0
remove me!
969354, 2023-06-22 18:46:57, manudo, cer1, up, 39662, 58176, pop-prd-pthalos000, 
0:00:17 0
remove me!
969363, 2023-06-22 18:48:31, manudo, cer1, down, 39662, 58176, pop-prd-pthalos000, 
0:01:34 1
remove me!
969364, 2023-06-22 18:48:43, manudo, cer1, up, 64833, 14630, pop-prd-pthalos000, 
0:00:12 0
remove me!
969370, 2023-06-22 18:49:57, manudo, cer1, down, 64833, 14630, pop-prd-pthalos000, 
0:01:14 1
remove me!
969372, 2023-06-22 18:50:13, manudo, cer1, up, 50270, 14415, pop-prd-pthalos000, 
0:00:16 0
remove me!
969378, 2023-06-22 18:50:38, manudo, cer1, down, 50270, 14415, pop-prd-pthalos000, 
0:00:25 0
remove me!
969379, 2023-06-22 18:50:54, manudo, cer1, up, 20047, 24460, pop-prd-pthalos000, 
0:00:16 0
remove me!
969403, 2023-06-22 18:57:42, manudo, cer1, down, 20047, 24460, pop-prd-pthalos000, 
0:06:48 6
remove me!
969406, 2023-06-22 18:57:57, manudo, cer1, up, 36204, 36316, pop-prd-pthalos000, 
0:00:15 0
remove me!
969408, 2023-06-22 18:58:21, manudo, cer1, down, 36204, 36316, pop-prd-pthalos000, 
0:00:24 0
remove me!
969410, 2023-06-22 18:58:37, manudo, cer1, up, 60776, 27203, pop-prd-pthalos000, 
0:00:16 0
remove me!
969432, 2023-06-22 19:04:39, manudo, cer1, down, 60776, 27203, pop-prd-pthalos000, 
0:06:02 6
remove me!
969458, 2023-06-22 19:12:28, manudo, cer1, up, 54205, 7089, pop-prd-pthalos000, 
0:07:49 7
remove me!
969494, 2023-06-22 19:22:49, manudo, cer1, down, 54205, 7089, pop-prd-pthalos000, 
0:10:21 10
remove me!
969495, 2023-06-22 19:23:04, manudo, cer1, up, 1920, 844, pop-prd-pthalos000, 
0:00:15 0
remove me!
969532, 2023-06-22 19:35:51, manudo, cer1, down, 1920, 844, pop-prd-pthalos000, 
0:12:47 12
remove me!
969533, 2023-06-22 19:36:05, manudo, cer1, up, 57157, 20546, pop-prd-pthalos000, 
0:00:14 0
remove me!
970006, 2023-06-22 22:05:24, manudo, cer1, down, 57157, 20546, pop-prd-pthalos000, 
2:29:19 149
970178, 2023-06-22 23:12:26, manudo, cer1, up, 41161, 53257, pop-prd-pthalos000, 
1:07:02 67
970188, 2023-06-22 23:18:51, manudo, cer1, down, 41161, 53257, pop-prd-pthalos000, 
0:06:25 6
remove me!
970190, 2023-06-22 23:19:02, manudo, cer1, up, 42436, 22851, pop-prd-pthalos000, 
0:00:11 0
remove me!
970278, 2023-06-22 23:42:28, manudo, cer1, down, 42436, 22851, pop-prd-pthalos000, 
0:23:26 23
